"Type","Name","Source","Target","Status","ErrorMessage"
"File","Fluid Conveying Products_ERock_ODE Gen Cond with ER requested mod response   MCS_Clean.docx","Documents/Fluid Conveying Products_ERock_ODE Gen Cond with ER requested mod response   MCS_Clean.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Gas Engineering.docx","Documents/Gas Engineering.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Gold Rush 1099 Request SOW.docx","Documents/Gold Rush 1099 Request SOW.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","How to Submit A Sourcing Request.docx","Documents/How to Submit A Sourcing Request.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Internal Team - Approval Signature Page for MSA and Ts&Cs - Stepanie Signature.docx","Documents/Internal Team - Approval Signature Page for MSA and Ts&Cs - Stepanie Signature.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","January 2024 Supplier Pool Update.xlsx","Documents/January 2024 Supplier Pool Update.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","KPI Data Tool Builder .xlsx","Documents/KPI Data Tool Builder .xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Leads for Pressure Washing Services.xlsb","Documents/Leads for Pressure Washing Services.xlsb","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Luke Hughes - Supply Chain Strategic Sourcing 2024 Goals.xlsx","Documents/Luke Hughes - Supply Chain Strategic Sourcing 2024 Goals.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Macro Magnetic - Ts&Cs of Purchase 11_08_2023(redlined) .docx","Documents/Macro Magnetic - Ts&Cs of Purchase 11_08_2023(redlined) .docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","March 2024 Supplier Pool Update (1).xlsx","Documents/March 2024 Supplier Pool Update (1).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","March 2024 Supplier Pool Update_Rev1.xlsx","Documents/March 2024 Supplier Pool Update_Rev1.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","March 2024 Supplier Pool Update.xlsx","Documents/March 2024 Supplier Pool Update.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","MASTER SERVICE AGREEMENT ER-MSA-0925-V02.docx","Documents/MASTER SERVICE AGREEMENT ER-MSA-0925-V02.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","May 2024 - Coporate Supplier Pool Update.xlsx","Documents/May 2024 - Coporate Supplier Pool Update.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","May 2024 - Rev#1 Coporate Supplier Pool Update.xlsx","Documents/May 2024 - Rev#1 Coporate Supplier Pool Update.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","May 2024 - Rev#2 Coporate Supplier Pool Update.xlsx","Documents/May 2024 - Rev#2 Coporate Supplier Pool Update.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","May 2024 - Supplier Pool Update.xlsx","Documents/May 2024 - Supplier Pool Update.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","May 2024 -Coporate Supplier Pool Update.xlsx","Documents/May 2024 -Coporate Supplier Pool Update.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","May 2024 Rev#1 -Coporate Supplier Pool Update.xlsx","Documents/May 2024 Rev#1 -Coporate Supplier Pool Update.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","New Vendor Process.docx","Documents/New Vendor Process.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","New Vendor Request Form _ RFQ Tracking Week of.xlsx","Documents/New Vendor Request Form _ RFQ Tracking Week of.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","One-on-One Meeting (Anthony Franklin).xlsx","Documents/One-on-One Meeting (Anthony Franklin).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Presentation1.pptx","Documents/Presentation1.pptx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Project for List of Vendors with Past Agreed Terms_09-10-24.xlsx","Documents/Project for List of Vendors with Past Agreed Terms_09-10-24.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Project for List of Vendors with Past Agreed Terms_09-11-24.xlsx","Documents/Project for List of Vendors with Past Agreed Terms_09-11-24.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Rev#1-February 2024 Supplier Pool Update (1).xlsx","Documents/Rev#1-February 2024 Supplier Pool Update (1).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Rev#1-February 2024 Supplier Pool Update (2).xlsx","Documents/Rev#1-February 2024 Supplier Pool Update (2).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Rev#1-February 2024 Supplier Pool Update (3).xlsx","Documents/Rev#1-February 2024 Supplier Pool Update (3).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Rev#1-February 2024 Supplier Pool Update (4).xlsx","Documents/Rev#1-February 2024 Supplier Pool Update (4).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Rev#1-February 2024 Supplier Pool Update.xlsx","Documents/Rev#1-February 2024 Supplier Pool Update.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","SCM - Sourcing (Do Not Archive or Remove Folders)","Documents/SCM - Sourcing (Do Not Archive or Remove Folders)","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","SCM Goals 2023 - Sourcing Team.xlsx","Documents/SCM Goals 2023 - Sourcing Team.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Scope.docx","Documents/Scope.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Sourcing Tracking List for MSA_TCs&Cs 202_ April 2024.xlsx","Documents/Sourcing Tracking List for MSA_TCs&Cs 202_ April 2024.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Sourcing Tracking List for MSA_TCs&Cs 2024.xlsx","Documents/Sourcing Tracking List for MSA_TCs&Cs 2024.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Supplier Pool January 2024.xlsx","Documents/Supplier Pool January 2024.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Supply Chain Strategic Sourcing Team 2023 Goals.xlsx","Documents/Supply Chain Strategic Sourcing Team 2023 Goals.xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Tailored Site Sercices - MSA_redlined 01_25_24.docx","Documents/Tailored Site Sercices - MSA_redlined 01_25_24.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Terms and Conditions of Purchase V01-112023updated.docx","Documents/Terms and Conditions of Purchase V01-112023updated.docx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Tracking Thanos Sourcing Request - July and Aug (1).xlsx","Documents/Tracking Thanos Sourcing Request - July and Aug (1).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Tracking Thanos Sourcing Request - July and Aug (2) (1).xlsx","Documents/Tracking Thanos Sourcing Request - July and Aug (2) (1).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
"File","Tracking Thanos Sourcing Request - July and Aug (2).xlsx","Documents/Tracking Thanos Sourcing Request - July and Aug (2).xlsx","https://enchantedrock.sharepoint.com/sites/SupplyChainStrategicSourcingTeam/Shared Documents/Archive/Donna's OneDrive","Copied",""
